slug	verdict	year	posts_that_year	yield_pct	ok	gated	short	median_words	claim_sentences	specificity
jj745	SKIP-too-gated	2021	2	50	1	0	1	596	1	104
paulomacro	SKIP-too-new	2024,2025,2026								
sundaymorningmarkets	SKIP-too-new	2022,2023,2024,2025,2026								
sethabramson	SKIP-too-gated	2021	182	0	0	4	0	0	0	0
dynalogic	SKIP-too-new	2022,2023,2024,2025,2026								
thebearcave	CANDIDATE	2021	78	75	3	1	0	1020	5	269
montanaskeptic	SKIP-too-new	2023,2024,2025,2026								
aegishedging	SKIP-too-new	2022,2023,2024,2025,2026								
classicsreadaloud	SKIP-too-new	2025,2026								
quoththeraven	SKIP-too-gated	2021	126	25	1	3	0	1247	1	109
seymourhersh	SKIP-too-new	2023,2024,2025,2026								
envmental	SKIP-too-new	2022,2023,2024,2025,2026								
invariant	SKIP-too-new	2022,2023,2024,2025,2026								
rudy	SKIP-too-gated	2020	1	0	0	0	1	0	0	0
tashigd	SKIP-too-new	2023,2024,2026								
davidstockman	SKIP-too-new	2022,2023,2024,2025,2026								
themariahbonner	SKIP-too-new	2023,2024,2025,2026								
watchmanprivacy	SKIP-too-new	2025,2026								
elisabeth402	WEAK-no-claims	2021	6	100	4	0	0	1532	0	117
fedetessore	SKIP-too-new	2022,2023,2024,2026								
yourlocalepidemiologist	SKIP-too-gated	2021	251	0	0	4	0	0	0	0
insidemedicine	CANDIDATE	2021	46	100	4	0	0	1240	4	85
bristoliver	SKIP-too-new	2022,2023,2024,2025,2026								
buildupdietitians	SKIP-too-new	2022,2023,2024,2025,2026								
kucharski	SKIP-too-new	2023,2024,2025,2026								
jamesclaims	SKIP-too-new	2022,2023,2024,2025,2026								
sohla	SKIP-too-gated	2021	12	0	0	4	0	0	0	0
feiring	SKIP-too-new	2022,2023,2024,2025,2026								
katemcdermott	SKIP-too-gated	2021	53	0	0	3	1	0	0	0
andreanguyen	SKIP-too-new	2022,2023,2024,2025,2026								
leela	SKIP-too-gated	2021	45	0	0	4	0	0	0	0
lettrerecommandee	SKIP-too-gated	2021	4	0	0	4	0	0	0	0
doriegreenspan	SKIP-too-gated	2021	56	0	0	4	0	0	0	0
everydaydrinking	SKIP-too-gated	2021	25	0	0	4	0	0	0	0
elizabethminchilli	SKIP-too-gated	2021	54	0	0	4	0	0	0	0
lesleychesterman	SKIP-too-gated	2021	1	0	0	1	0	0	0	0
smittenkitchen	SKIP-too-new	2022,2023,2024,2025,2026								
ottolenghi	SKIP-too-new	2024,2025,2026								
heidiswanson	SKIP-too-new	none								
everythingcookbooks	SKIP-too-new	2025,2026								
anissahelou	SKIP-too-new	2023,2024,2025,2026								
bradthomasparsons	SKIP-too-new	2022,2023,2024,2025,2026								
ciaodown	SKIP-too-new	2023,2024,2025,2026								
amateurgourmet	SKIP-too-gated	2021	85	0	0	4	0	0	0	0
luisaweiss	WEAK-no-claims	2021	3	100	3	0	0	1713	0	34
cookswithoutborders	SKIP-too-new	2023,2024,2025,2026								
ruhlman	SKIP-too-gated	2021	26	0	0	4	0	0	0	0
annebyrn	SKIP-too-gated	2021	72	25	1	3	0	1342	0	77
divinacucina	SKIP-too-gated	2021	48	0	0	4	0	0	0	0
lauracalder	SKIP-too-new	2022,2023,2024,2025,2026								
diannejacob	SKIP-too-gated	2021	7	50	2	2	0	1578	1	210
parisbymouth	SKIP-too-gated	2021	9	0	0	4	0	0	0	0
joseandres	SKIP-too-new	2022,2023,2024,2025,2026								
leafhopper	SKIP-too-new	2024,2025,2026								
lespetitsfarcis	SKIP-too-new	2024,2025,2026								
davidleite	SKIP-too-gated	2021	3	0	0	0	3	0	0	0
samitamimi	SKIP-too-new	2024,2025,2026								
cookbookerycollective	SKIP-too-new	2025,2026								
zoefrancois	SKIP-too-gated	2021	20	50	2	2	0	673	0	203
susanality	WEAK-no-claims	2021	60	75	3	1	0	1931	0	65
saltandspine	SKIP-too-gated	2021	84	25	1	2	1	426	0	305
therealemilyinparis	SKIP-too-gated	2021	1	0	0	1	0	0	0	0
emilyrnunn	SKIP-too-gated	2021	90	0	0	4	0	0	0	0
ajiriaki	SKIP-too-new	2023,2024,2025,2026								
notdrinkingpoison	CANDIDATE	2021	76	75	3	1	0	932	1	140
evankleiman	WEAK-no-claims	2021	4	75	3	0	1	645	0	86
susanherrmann	SKIP-too-new	2023,2024,2025,2026								
